service,operation,transport,state,reason
cloudsql,CloudSQL.OperationsList,rest,limited,metadata-only over ResourceStore (no control plane)
cloudsql,CloudSQL.TiersList,rest,limited,metadata-only over ResourceStore (no control plane)
cloudsql,CloudSQL.Unimplemented,rest,unsupported,explicit Unimplemented stub
cloudsql,CloudSQL.UsersDelete,rest,limited,metadata-only over ResourceStore (no control plane)
cloudsql,CloudSQL.UsersGet,rest,limited,metadata-only over ResourceStore (no control plane)
cloudsql,CloudSQL.UsersInsert,rest,limited,metadata-only over ResourceStore (no control plane)
cloudsql,CloudSQL.UsersList,rest,limited,metadata-only over ResourceStore (no control plane)
cloudsql,CloudSQL.UsersUpdate,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.DisksDelete,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.DisksGet,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.DisksInsert,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.DisksList,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.FirewallsDelete,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.FirewallsGet,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.FirewallsInsert,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.FirewallsList,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.InstancesAggregatedList,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.InstancesDelete,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.InstancesGet,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.InstancesInsert,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.InstancesList,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.InstancesReset,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.InstancesStart,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.InstancesStop,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.MachineTypesGet,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.MachineTypesList,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.NetworksDelete,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.NetworksGet,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.NetworksInsert,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.NetworksList,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.OperationsGet,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.OperationsList,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.RegionsGet,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.RegionsList,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.SubnetworksDelete,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.SubnetworksGet,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.SubnetworksInsert,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.SubnetworksList,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.Unimplemented,rest,unsupported,explicit Unimplemented stub
compute,Compute.ZonesGet,rest,limited,metadata-only over ResourceStore (no control plane)
compute,Compute.ZonesList,rest,limited,metadata-only over ResourceStore (no control plane)
dataproc,Dataproc.CancelJob,rest,ga,
dataproc,Dataproc.CreateCluster,rest,ga,
dataproc,Dataproc.DeleteCluster,rest,ga,
dataproc,Dataproc.DeleteJob,rest,ga,
dataproc,Dataproc.DiagnoseCluster,rest,unsupported,explicit Unimplemented stub
dataproc,Dataproc.GetCluster,rest,ga,
dataproc,Dataproc.GetJob,rest,ga,
dataproc,Dataproc.GetOperation,rest,ga,
dataproc,Dataproc.ListClusters,rest,ga,
dataproc,Dataproc.ListJobs,rest,ga,
dataproc,Dataproc.StartCluster,rest,ga,
dataproc,Dataproc.StopCluster,rest,ga,
dataproc,Dataproc.SubmitJob,rest,ga,covered by the k3d Lakehouse e2e (real Spark on Kubernetes)
dataproc,Dataproc.SubmitJobAsOperation,rest,ga,
dataproc,Dataproc.UpdateCluster,rest,ga,
datastore,AllocateIds,grpc,ga,
datastore,BeginTransaction,grpc,ga,
datastore,Commit,grpc,ga,
datastore,Datastore.AllocateIds,rest,ga,
datastore,Datastore.BeginTransaction,rest,ga,
datastore,Datastore.Commit,rest,ga,
datastore,Datastore.Lookup,rest,ga,
datastore,Datastore.ReserveIds,rest,ga,
datastore,Datastore.Rollback,rest,ga,
datastore,Datastore.RunAggregationQuery,rest,ga,
datastore,Datastore.RunQuery,rest,ga,
datastore,Lookup,grpc,ga,
datastore,ReserveIds,grpc,ga,
datastore,Rollback,grpc,ga,
datastore,RunAggregationQuery,grpc,ga,
datastore,RunQuery,grpc,ga,
eventarc,Eventarc.ChannelGetIamPolicy,rest,ga,
eventarc,Eventarc.ChannelSetIamPolicy,rest,ga,
eventarc,Eventarc.ChannelTestIamPermissions,rest,ga,
eventarc,Eventarc.CreateChannel,rest,ga,
eventarc,Eventarc.CreateTrigger,rest,ga,
eventarc,Eventarc.DeleteChannel,rest,ga,
eventarc,Eventarc.DeleteTrigger,rest,ga,
eventarc,Eventarc.GetChannel,rest,ga,
eventarc,Eventarc.GetProvider,rest,ga,
eventarc,Eventarc.GetTrigger,rest,ga,
eventarc,Eventarc.ListChannels,rest,ga,
eventarc,Eventarc.ListProviders,rest,ga,
eventarc,Eventarc.ListTriggers,rest,ga,
eventarc,Eventarc.TriggerGetIamPolicy,rest,ga,
eventarc,Eventarc.TriggerSetIamPolicy,rest,ga,
eventarc,Eventarc.TriggerTestIamPermissions,rest,ga,
eventarc,Eventarc.UpdateChannel,rest,ga,
eventarc,Eventarc.UpdateTrigger,rest,ga,
firestore,BatchGetDocuments,grpc,ga,
firestore,BatchWrite,grpc,ga,
firestore,BeginTransaction,grpc,ga,
firestore,Commit,grpc,ga,
firestore,CreateDocument,grpc,ga,
firestore,DeleteDocument,grpc,ga,
firestore,ExecutePipeline,grpc,ga,
firestore,Firestore.BatchGet,rest,ga,
firestore,Firestore.BatchWrite,rest,ga,
firestore,Firestore.BeginTransaction,rest,ga,
firestore,Firestore.Commit,rest,ga,
firestore,Firestore.CreateDocument,rest,ga,
firestore,Firestore.CreateIndex,rest,ga,
firestore,Firestore.DeleteDocument,rest,ga,
firestore,Firestore.DeleteIndex,rest,ga,
firestore,Firestore.GetDocument,rest,ga,
firestore,Firestore.GetIndex,rest,ga,
firestore,Firestore.ListCollectionIds,rest,ga,
firestore,Firestore.ListDocuments,rest,ga,
firestore,Firestore.ListIndexes,rest,ga,
firestore,Firestore.PatchDocument,rest,ga,
firestore,Firestore.Rollback,rest,ga,
firestore,Firestore.RunQuery,rest,ga,
firestore,GetDocument,grpc,ga,
firestore,ListCollectionIds,grpc,ga,
firestore,ListDocuments,grpc,ga,
firestore,Listen,grpc,ga,
firestore,PartitionQuery,grpc,ga,
firestore,Rollback,grpc,ga,
firestore,RunAggregationQuery,grpc,ga,
firestore,RunQuery,grpc,ga,
firestore,UpdateDocument,grpc,ga,
firestore,Write,grpc,ga,
functions,Function.CallFunction,rest,ga,
functions,Function.CancelOperation,rest,limited,no matching Discovery method (unverified against the official schema)
functions,Function.CreateFunction,rest,ga,
functions,Function.DeleteFunction,rest,ga,
functions,Function.DeleteOperation,rest,limited,no matching Discovery method (unverified against the official schema)
functions,Function.FunctionGetIamPolicy,rest,ga,
functions,Function.FunctionSetIamPolicy,rest,ga,
functions,Function.FunctionTestIamPermissions,rest,ga,
functions,Function.GenerateDownloadUrl,rest,ga,
functions,Function.GenerateUploadUrl,rest,ga,
functions,Function.GetFunction,rest,ga,
functions,Function.GetLocation,rest,limited,no matching Discovery method (unverified against the official schema)
functions,Function.GetOperation,rest,ga,
functions,Function.ListFunctions,rest,ga,
functions,Function.ListLocations,rest,ga,
functions,Function.ListOperations,rest,ga,
functions,Function.UpdateFunction,rest,ga,
iam,GetIamPolicy,grpc,ga,
iam,IAM.ServiceAccountCreate,rest,ga,
iam,IAM.ServiceAccountDelete,rest,ga,
iam,IAM.ServiceAccountGet,rest,ga,
iam,IAM.ServiceAccountGetIamPolicy,rest,ga,
iam,IAM.ServiceAccountKeyCreate,rest,ga,
iam,IAM.ServiceAccountKeyDelete,rest,ga,
iam,IAM.ServiceAccountKeyGet,rest,ga,
iam,IAM.ServiceAccountKeyList,rest,ga,
iam,IAM.ServiceAccountList,rest,ga,
iam,IAM.ServiceAccountSetIamPolicy,rest,ga,
iam,IAM.ServiceAccountSignBlob,rest,ga,
iam,IAM.ServiceAccountSignJwt,rest,ga,
iam,IAM.ServiceAccountTestIamPermissions,rest,ga,
iam,SetIamPolicy,grpc,ga,
iam,TestIamPermissions,grpc,ga,
iceberg,Iceberg.CommitTable,rest,preview,BigLake Iceberg REST catalog; no official Discovery document
iceberg,Iceberg.CreateNamespace,rest,preview,BigLake Iceberg REST catalog; no official Discovery document
iceberg,Iceberg.CreateTable,rest,preview,BigLake Iceberg REST catalog; no official Discovery document
iceberg,Iceberg.DropNamespace,rest,preview,BigLake Iceberg REST catalog; no official Discovery document
iceberg,Iceberg.DropTable,rest,preview,BigLake Iceberg REST catalog; no official Discovery document
iceberg,Iceberg.GetConfig,rest,preview,BigLake Iceberg REST catalog; no official Discovery document
iceberg,Iceberg.GetNamespace,rest,preview,BigLake Iceberg REST catalog; no official Discovery document
iceberg,Iceberg.ListNamespaces,rest,preview,BigLake Iceberg REST catalog; no official Discovery document
iceberg,Iceberg.ListTables,rest,preview,BigLake Iceberg REST catalog; no official Discovery document
iceberg,Iceberg.LoadTable,rest,preview,BigLake Iceberg REST catalog; no official Discovery document
iceberg,Iceberg.NamespaceExists,rest,preview,BigLake Iceberg REST catalog; no official Discovery document
iceberg,Iceberg.RenameTable,rest,preview,BigLake Iceberg REST catalog; no official Discovery document
iceberg,Iceberg.TableMetrics,rest,preview,BigLake Iceberg REST catalog; no official Discovery document
iceberg,Iceberg.UpdateNamespaceProperties,rest,preview,BigLake Iceberg REST catalog; no official Discovery document
kms,AsymmetricDecrypt,grpc,ga,
kms,AsymmetricSign,grpc,ga,
kms,CreateCryptoKey,grpc,ga,
kms,CreateCryptoKeyVersion,grpc,ga,
kms,CreateImportJob,grpc,ga,
kms,CreateKeyRing,grpc,ga,
kms,Decapsulate,grpc,limited,KEM decapsulation needs a KEM key type (ML-KEM/X-Wing) and raw-bytes public keys the emulator does not generate
kms,Decrypt,grpc,ga,
kms,DeleteCryptoKey,grpc,ga,
kms,DeleteCryptoKeyVersion,grpc,ga,
kms,DestroyCryptoKeyVersion,grpc,ga,
kms,Encrypt,grpc,ga,
kms,ExportTrustedKeyWrappedCryptoKeyVersion,grpc,limited,"HSM trusted key wrapping (preview/EKM, AES-256-KWP) is not modelled"
kms,GenerateRandomBytes,grpc,ga,
kms,GetCryptoKey,grpc,ga,
kms,GetCryptoKeyVersion,grpc,ga,
kms,GetImportJob,grpc,ga,
kms,GetKeyRing,grpc,ga,
kms,GetPublicKey,grpc,ga,
kms,GetRetiredResource,grpc,ga,
kms,ImportCryptoKeyVersion,grpc,limited,key import needs a store path to create a version from caller-supplied material plus RSA-OAEP + AES-KWP (RFC 5649) unwrapping
kms,ImportTrustedKeyWrappedCryptoKeyVersion,grpc,limited,"HSM trusted key wrapping (preview/EKM, AES-256-KWP) is not modelled"
kms,KMS.CryptoKeyCreate,rest,ga,
kms,KMS.CryptoKeyDecrypt,rest,ga,
kms,KMS.CryptoKeyEncrypt,rest,ga,
kms,KMS.CryptoKeyGet,rest,ga,
kms,KMS.CryptoKeyGetIamPolicy,rest,ga,
kms,KMS.CryptoKeyList,rest,ga,
kms,KMS.CryptoKeySetIamPolicy,rest,ga,
kms,KMS.CryptoKeyTestIamPermissions,rest,ga,
kms,KMS.CryptoKeyUpdatePrimaryVersion,rest,ga,
kms,KMS.CryptoKeyVersionAsymmetricDecrypt,rest,ga,
kms,KMS.CryptoKeyVersionAsymmetricSign,rest,ga,
kms,KMS.CryptoKeyVersionCreate,rest,ga,
kms,KMS.CryptoKeyVersionDestroy,rest,ga,
kms,KMS.CryptoKeyVersionDisable,rest,limited,no matching Discovery method (unverified against the official schema)
kms,KMS.CryptoKeyVersionEnable,rest,limited,no matching Discovery method (unverified against the official schema)
kms,KMS.CryptoKeyVersionGet,rest,ga,
kms,KMS.CryptoKeyVersionGetIamPolicy,rest,limited,no matching Discovery method (unverified against the official schema)
kms,KMS.CryptoKeyVersionGetPublicKey,rest,ga,
kms,KMS.CryptoKeyVersionList,rest,ga,
kms,KMS.CryptoKeyVersionMacSign,rest,ga,
kms,KMS.CryptoKeyVersionMacVerify,rest,ga,
kms,KMS.CryptoKeyVersionSetIamPolicy,rest,limited,no matching Discovery method (unverified against the official schema)
kms,KMS.CryptoKeyVersionTestIamPermissions,rest,limited,no matching Discovery method (unverified against the official schema)
kms,KMS.KeyRingCreate,rest,ga,
kms,KMS.KeyRingGet,rest,ga,
kms,KMS.KeyRingGetIamPolicy,rest,ga,
kms,KMS.KeyRingList,rest,ga,
kms,KMS.KeyRingSetIamPolicy,rest,ga,
kms,KMS.KeyRingTestIamPermissions,rest,ga,
kms,ListCryptoKeyVersions,grpc,ga,
kms,ListCryptoKeys,grpc,ga,
kms,ListImportJobs,grpc,ga,
kms,ListKeyRings,grpc,ga,
kms,ListRetiredResources,grpc,ga,
kms,MacSign,grpc,ga,
kms,MacVerify,grpc,ga,
kms,RawDecrypt,grpc,ga,
kms,RawEncrypt,grpc,ga,
kms,RestoreCryptoKeyVersion,grpc,ga,
kms,UpdateCryptoKey,grpc,ga,
kms,UpdateCryptoKeyPrimaryVersion,grpc,ga,
kms,UpdateCryptoKeyVersion,grpc,ga,
logging,DeleteLog,grpc,ga,
logging,ListLogEntries,grpc,ga,
logging,ListLogs,grpc,ga,
logging,ListMonitoredResourceDescriptors,grpc,ga,
logging,TailLogEntries,grpc,limited,bounded store-poll tail whose latency derives from buffer_window; no deterministic conformance assertion exists
logging,WriteLogEntries,grpc,ga,
managedkafka,ManagedKafka.CreateCluster,rest,ga,
managedkafka,ManagedKafka.CreateTopic,rest,ga,
managedkafka,ManagedKafka.DeleteCluster,rest,ga,
managedkafka,ManagedKafka.DeleteConsumerGroup,rest,unsupported,explicit Unimplemented stub
managedkafka,ManagedKafka.DeleteTopic,rest,ga,
managedkafka,ManagedKafka.GetCluster,rest,ga,
managedkafka,ManagedKafka.GetConsumerGroup,rest,unsupported,explicit Unimplemented stub
managedkafka,ManagedKafka.GetOperation,rest,ga,
managedkafka,ManagedKafka.GetTopic,rest,ga,
managedkafka,ManagedKafka.ListClusters,rest,ga,
managedkafka,ManagedKafka.ListConsumerGroups,rest,limited,no broker data plane; consumer-group listing returns an empty set
managedkafka,ManagedKafka.ListOperations,rest,ga,
managedkafka,ManagedKafka.ListTopics,rest,ga,
managedkafka,ManagedKafka.UpdateCluster,rest,ga,
managedkafka,ManagedKafka.UpdateConsumerGroup,rest,unsupported,explicit Unimplemented stub
managedkafka,ManagedKafka.UpdateTopic,rest,ga,
memorystore,Memorystore.CreateInstance,rest,limited,metadata-only over ResourceStore (no data plane)
memorystore,Memorystore.DeleteInstance,rest,limited,metadata-only over ResourceStore (no data plane)
memorystore,Memorystore.GetInstance,rest,limited,metadata-only over ResourceStore (no data plane)
memorystore,Memorystore.GetLocation,rest,limited,metadata-only over ResourceStore (no data plane)
memorystore,Memorystore.ListInstances,rest,limited,metadata-only over ResourceStore (no data plane)
memorystore,Memorystore.ListLocations,rest,limited,metadata-only over ResourceStore (no data plane)
memorystore,Memorystore.UpdateInstance,rest,limited,metadata-only over ResourceStore (no data plane)
memorystore,Memorystore.UpgradeInstance,rest,limited,metadata-only over ResourceStore (no data plane)
metastore,Metastore.AlterMetadataResourceLocation,rest,unsupported,explicit Unimplemented stub
metastore,Metastore.CreateBackup,rest,ga,
metastore,Metastore.CreateMetadataImport,rest,ga,
metastore,Metastore.CreateService,rest,ga,
metastore,Metastore.DeleteBackup,rest,ga,
metastore,Metastore.DeleteService,rest,ga,
metastore,Metastore.ExportMetadata,rest,unsupported,explicit Unimplemented stub
metastore,Metastore.GetBackup,rest,ga,
metastore,Metastore.GetMetadataImport,rest,ga,
metastore,Metastore.GetOperation,rest,ga,
metastore,Metastore.GetService,rest,ga,
metastore,Metastore.ListBackups,rest,ga,
metastore,Metastore.ListMetadataImports,rest,ga,
metastore,Metastore.ListServices,rest,ga,
metastore,Metastore.MoveTableToDatabase,rest,unsupported,explicit Unimplemented stub
metastore,Metastore.QueryMetadata,rest,unsupported,explicit Unimplemented stub
metastore,Metastore.RestoreService,rest,unsupported,explicit Unimplemented stub
metastore,Metastore.UpdateMetadataImport,rest,ga,
metastore,Metastore.UpdateService,rest,ga,
monitoring,CreateAlertPolicy,grpc,ga,
monitoring,CreateMetricDescriptor,grpc,ga,
monitoring,CreateNotificationChannel,grpc,ga,
monitoring,CreateServiceTimeSeries,grpc,ga,
monitoring,CreateTimeSeries,grpc,ga,
monitoring,DeleteAlertPolicy,grpc,ga,
monitoring,DeleteMetricDescriptor,grpc,ga,
monitoring,DeleteNotificationChannel,grpc,ga,
monitoring,GetAlertPolicy,grpc,ga,
monitoring,GetMetricDescriptor,grpc,ga,
monitoring,GetMonitoredResourceDescriptor,grpc,ga,
monitoring,GetNotificationChannel,grpc,ga,
monitoring,GetNotificationChannelDescriptor,grpc,ga,
monitoring,GetNotificationChannelVerificationCode,grpc,ga,
monitoring,ListAlertPolicies,grpc,ga,
monitoring,ListMetricDescriptors,grpc,ga,
monitoring,ListMonitoredResourceDescriptors,grpc,ga,
monitoring,ListNotificationChannelDescriptors,grpc,ga,
monitoring,ListNotificationChannels,grpc,ga,
monitoring,ListTimeSeries,grpc,ga,
monitoring,SendNotificationChannelVerificationCode,grpc,ga,
monitoring,UpdateAlertPolicy,grpc,ga,
monitoring,UpdateNotificationChannel,grpc,ga,
monitoring,VerifyNotificationChannel,grpc,ga,
operations,CancelOperation,grpc,ga,
operations,DeleteOperation,grpc,ga,
operations,GetOperation,grpc,ga,
operations,ListOperations,grpc,ga,
operations,WaitOperation,grpc,ga,
pubsub,Acknowledge,grpc,ga,
pubsub,CreateSnapshot,grpc,ga,
pubsub,CreateSubscription,grpc,ga,
pubsub,CreateTopic,grpc,ga,
pubsub,DeleteSnapshot,grpc,ga,
pubsub,DeleteSubscription,grpc,ga,
pubsub,DeleteTopic,grpc,ga,
pubsub,DetachSubscription,grpc,ga,
pubsub,GetSnapshot,grpc,ga,
pubsub,GetSubscription,grpc,ga,
pubsub,GetTopic,grpc,ga,
pubsub,ListSnapshots,grpc,ga,
pubsub,ListSubscriptions,grpc,ga,
pubsub,ListTopicSnapshots,grpc,ga,
pubsub,ListTopicSubscriptions,grpc,ga,
pubsub,ListTopics,grpc,ga,
pubsub,ModifyAckDeadline,grpc,ga,
pubsub,ModifyPushConfig,grpc,ga,
pubsub,PubSub.SubscriptionAcknowledge,rest,ga,
pubsub,PubSub.SubscriptionCreate,rest,ga,
pubsub,PubSub.SubscriptionDelete,rest,ga,
pubsub,PubSub.SubscriptionDetach,rest,ga,
pubsub,PubSub.SubscriptionGet,rest,ga,
pubsub,PubSub.SubscriptionGetIamPolicy,rest,ga,
pubsub,PubSub.SubscriptionList,rest,ga,
pubsub,PubSub.SubscriptionModifyAckDeadline,rest,ga,
pubsub,PubSub.SubscriptionPull,rest,ga,
pubsub,PubSub.SubscriptionSetIamPolicy,rest,ga,
pubsub,PubSub.SubscriptionTestIamPermissions,rest,ga,
pubsub,PubSub.TopicCreate,rest,ga,
pubsub,PubSub.TopicDelete,rest,ga,
pubsub,PubSub.TopicGet,rest,ga,
pubsub,PubSub.TopicGetIamPolicy,rest,ga,
pubsub,PubSub.TopicList,rest,ga,
pubsub,PubSub.TopicPublish,rest,ga,
pubsub,PubSub.TopicSetIamPolicy,rest,ga,
pubsub,PubSub.TopicTestIamPermissions,rest,ga,
pubsub,Publish,grpc,ga,
pubsub,Pull,grpc,ga,
pubsub,Seek,grpc,ga,
pubsub,StreamingPull,grpc,ga,
pubsub,UpdateSnapshot,grpc,ga,
pubsub,UpdateSubscription,grpc,ga,
pubsub,UpdateTopic,grpc,ga,
resourcemanager,ResourceManager.ProjectGet,rest,ga,
resourcemanager,ResourceManager.ProjectGetIamPolicy,rest,ga,
resourcemanager,ResourceManager.ProjectSetIamPolicy,rest,ga,
resourcemanager,ResourceManager.ProjectTestIamPermissions,rest,ga,
secretmanager,AccessSecretVersion,grpc,ga,
secretmanager,AddSecretVersion,grpc,ga,
secretmanager,CreateSecret,grpc,ga,
secretmanager,DeleteSecret,grpc,ga,
secretmanager,DestroySecretVersion,grpc,ga,
secretmanager,DisableSecretVersion,grpc,ga,
secretmanager,EnableManagedRotation,grpc,limited,managed rotation needs a rotation Cloud Function and config the emulator does not model
secretmanager,EnableSecretVersion,grpc,ga,
secretmanager,GetIamPolicy,grpc,ga,
secretmanager,GetSecret,grpc,ga,
secretmanager,GetSecretVersion,grpc,ga,
secretmanager,ListSecretVersions,grpc,ga,
secretmanager,ListSecrets,grpc,ga,
secretmanager,RotateSecret,grpc,limited,the proto rotates the secret and updates a linked Cloud SQL password; the emulator has no Cloud SQL data plane
secretmanager,Secret.Access,rest,ga,
secretmanager,Secret.AddVersion,rest,ga,
secretmanager,Secret.Create,rest,ga,
secretmanager,Secret.Delete,rest,ga,
secretmanager,Secret.DestroyVersion,rest,ga,
secretmanager,Secret.DisableVersion,rest,ga,
secretmanager,Secret.EnableVersion,rest,ga,
secretmanager,Secret.Get,rest,ga,
secretmanager,Secret.GetIamPolicy,rest,ga,
secretmanager,Secret.GetVersion,rest,ga,
secretmanager,Secret.List,rest,ga,
secretmanager,Secret.ListVersions,rest,ga,
secretmanager,Secret.SetIamPolicy,rest,ga,
secretmanager,Secret.TestIamPermissions,rest,ga,
secretmanager,Secret.Update,rest,ga,
secretmanager,SetIamPolicy,grpc,ga,
secretmanager,TestIamPermissions,grpc,ga,
secretmanager,UpdateSecret,grpc,ga,
serviceusage,ServiceUsage.ServicesBatchEnable,rest,ga,
serviceusage,ServiceUsage.ServicesDisable,rest,ga,
serviceusage,ServiceUsage.ServicesEnable,rest,ga,
serviceusage,ServiceUsage.ServicesGet,rest,ga,
serviceusage,ServiceUsage.ServicesList,rest,ga,
storage,BidiReadObject,grpc,limited,bidirectional streaming read with range handles is unimplemented; only the server-streaming ReadObject is served
storage,BidiWriteObject,grpc,ga,
storage,CancelResumableWrite,grpc,ga,
storage,ComposeObject,grpc,ga,
storage,CreateBucket,grpc,ga,
storage,DeleteBucket,grpc,ga,
storage,DeleteObject,grpc,ga,
storage,GetBucket,grpc,ga,
storage,GetIamPolicy,grpc,ga,
storage,GetObject,grpc,ga,
storage,ListBuckets,grpc,ga,
storage,ListObjects,grpc,ga,
